	net_name	dataset_name	train_or_test	loss	accuracy	precision	recall	fmeasure
20	Xception	03_France_ByShape_160_3dim	train	0.2932789268728919	0.9443413653562448	0.9496667290736512	0.9381570734576672	0.9435728235457072
21	Xception	03_France_ByShape_160_3dim	test	1.0176581029075285	0.8453038677326223	0.8548131000600467	0.8397790058541693	0.8470360310696765
22	Xception	03_France_ByShape_192_3dim	train	0.054835791089589296	0.9876314136225572	0.9879406282912084	0.9876314136225572	0.9877778770161324
23	Xception	03_France_ByShape_192_3dim	test	0.4410455965421559	0.8674033149171271	0.8694989536348627	0.8646408839779005	0.8669503986506172
24	Xception	03_France_ByShape_224_3dim	train	0.01924068620591813	0.9959802093075321	0.9965986386448348	0.9959802093075321	0.996273146968752
25	Xception	03_France_ByShape_224_3dim	test	0.4934870839808244	0.9502762437525376	0.9502762437525376	0.9502762437525376	0.9502762262992436
26	VGG16	03_France_ByShape_128_3dim	train	2.975418332630128	0.8153988841734481	0.8153988841734481	0.8153988841734481	0.8153988518461299
27	VGG16	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
28	VGG16	03_France_ByShape_160_3dim	train	2.975418332630127	0.8153988847263669	0.8153988847263669	0.8153988847263669	0.8153988538734988
29	VGG16	03_France_ByShape_160_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
30	VGG16	03_France_ByShape_192_3dim	train	2.975418334989248	0.8153988849106731	0.8153988849106731	0.8153988849106731	0.8153988544264176
31	VGG16	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
32	VGG16	03_France_ByShape_224_3dim	train	2.9754183366848643	0.8153988840075724	0.8153988840075724	0.8153988840075724	0.8153988529519675
33	VGG16	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
34	VGG19	03_France_ByShape_128_3dim	train	2.97541833683231	0.8153988833625005	0.8153988833625005	0.8153988833625005	0.8153988496344549
35	VGG19	03_France_ByShape_128_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
36	VGG19	03_France_ByShape_160_3dim	train	2.9754183381593147	0.8153988842656013	0.8153988842656013	0.8153988842656013	0.8153988533205799
37	VGG19	03_France_ByShape_160_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
38	VGG19	03_France_ByShape_192_3dim	train	2.975418338527928	0.8153988838048356	0.8153988838048356	0.8153988838048356	0.8153988522147425
39	VGG19	03_France_ByShape_192_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
40	VGG19	03_France_ByShape_224_3dim	train	2.9754183318929024	0.8153988842840318	0.8153988842840318	0.8153988842840318	0.8153988527676612
41	VGG19	03_France_ByShape_224_3dim	test	3.0277085699429267	0.8121546961325967	0.8121546961325967	0.8121546961325967	0.8121546855947589
42	MobileNet	03_France_ByMeaning_128_3dim	train	0.9395767023051508	0.7572846607141986	0.8347463046286757	0.6791546608807756	0.744666374115237
43	MobileNet	03_France_ByMeaning_128_3dim	test	1.3279236121611162	0.6335227272727273	0.7524530467661944	0.5113636363636364	0.6023296591910449
44	MobileNet	03_France_ByMeaning_160_3dim	train	0.7358569521701492	0.7995517107965547	0.855549459794451	0.7479987189989612	0.7955059355415292
45	MobileNet	03_France_ByMeaning_160_3dim	test	1.0449928505854174	0.7357954545454546	0.8233318924903871	0.6534090909090909	0.7260980849916284
46	MobileNet	03_France_ByMeaning_192_3dim	train	0.3991695742877012	0.916426507070818	0.9292702844537606	0.908101178975278	0.9179099753923688
47	MobileNet	03_France_ByMeaning_192_3dim	test	0.9316330768845298	0.7471590909090909	0.7861182527108626	0.6903409090909091	0.7346911972219293
48	MobileNet	03_France_ByMeaning_224_3dim	train	1.0260927086040554	0.8450208069077295	0.8736270564586506	0.8238872834745219	0.8466383760417459
