	net_name	dataset_name	train_or_test	image_size	batch_size_app	batch_size_small_net	dense_1	dense_2	activation_1	activation_2	optimiser
109	SqueezeNet	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
110	Xception	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
111	Xception	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
112	Xception	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
113	Xception	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
114	Xception	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
115	Xception	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
116	Xception	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
117	Xception	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
118	Xception	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
119	Xception	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
120	Xception	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
121	Xception	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
122	Xception	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
123	Xception	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
124	VGG16	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
125	VGG16	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
126	VGG16	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
127	VGG16	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
128	VGG16	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
129	VGG16	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
130	VGG16	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
131	VGG16	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
132	VGG19	03_France_ByMeaningLarge_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
133	VGG19	03_France_ByMeaningLarge_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
134	VGG19	03_France_ByMeaningLarge_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
135	VGG19	03_France_ByMeaningLarge_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
136	VGG19	03_France_ByMeaningLarge_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
137	VGG19	03_France_ByMeaningLarge_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
138	VGG19	03_France_ByMeaningLarge_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
139	VGG19	03_France_ByMeaningLarge_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
